keyword_set,kw_id,kw_label_en,n_pairs,tp,tn,fp,fn,support_pos,support_neg,precision,recall,f1
k,160,anxiety,27792,103,16440,11208,41,144.0,27648.0,0.009106179824949165,0.7152777777777778,0.017983413356612833
k,245,scandals,27792,318,16168,11192,114,432.0,27360.0,0.027628149435273676,0.7361111111111112,0.0532574108189583
k,250,tangentopoli,27792,18,16577,11167,30,48.0,27744.0,0.0016092981671881985,0.375,0.003204842873675777
k,64,literature,27792,183,16420,11132,57,240.0,27552.0,0.016173221387538666,0.7625,0.031674599740372136
k,26,autonomy,27792,673,15465,11127,527,1200.0,26592.0,0.05703389830508475,0.5608333333333333,0.10353846153846154
k,122,ugliness,27792,70,16611,11085,26,96.0,27696.0,0.0062752129090094125,0.7291666666666666,0.012443338369922672
k,45,desire for freedom,27792,457,16038,11082,215,672.0,27120.0,0.03960481844180605,0.6800595238095238,0.07485054459094259
k,8,home,27792,806,15546,11046,394,1200.0,26592.0,0.06800539993250085,0.6716666666666666,0.12350597609561753
k,219,escape,27792,72,16673,11023,24,96.0,27696.0,0.006489409643983777,0.75,0.012867482798677507
k,192,advertising,27792,46,16724,11020,2,48.0,27744.0,0.004156876920296404,0.9583333333333334,0.008277847759582508
k,112,fear,27792,337,16418,10990,47,384.0,27408.0,0.0297519201906948,0.8776041666666666,0.05755272820425241
k,181,equality,27792,65,16776,10920,31,96.0,27696.0,0.005917159763313609,0.6770833333333334,0.011731793159462142
k,155,jealousy,27792,305,16524,10884,79,384.0,27408.0,0.02725891500580928,0.7942708333333334,0.05270889138512055
k,116,contracts,27792,529,16297,10823,143,672.0,27120.0,0.04659971811134602,0.7872023809523809,0.08799068529607453
k,170,inventing,27792,85,16845,10803,59,144.0,27648.0,0.007806759735488611,0.5902777777777778,0.015409717186366932
k,200,travelling,27792,195,16758,10794,45,240.0,27552.0,0.017745017745017744,0.8125,0.034731498797755805
k,20,education,27792,392,16553,10711,136,528.0,27264.0,0.03530577321444655,0.7424242424242424,0.0674060699853839
k,134,producer,27792,853,15991,10697,251,1104.0,26688.0,0.07385281385281385,0.7726449275362319,0.13481902955587166
k,63,analyst,27792,223,16844,10660,65,288.0,27504.0,0.020490673527519987,0.7743055555555556,0.03992480529943604
k,1,childhood and adolescence,27792,2112,14353,10607,720,2832.0,24960.0,0.16605079015645885,0.7457627118644068,0.2716224037039419
k,173,loneliness,27792,195,16874,10582,141,336.0,27456.0,0.018094089264173704,0.5803571428571429,0.03509403401421759
k,4,self-determination,27792,3529,11332,10556,2375,5904.0,21888.0,0.250550230741924,0.597730352303523,0.35309420181099604
k,180,bosom,27792,116,17188,10460,28,144.0,27648.0,0.01096822995461422,0.8055555555555556,0.02164179104477612
k,60,being alone (solitude as an act of self-determination),27792,145,17233,10367,47,192.0,27600.0,0.013793759512937594,0.7552083333333334,0.02709267563527653
k,2,family,27792,3707,13181,10291,613,4320.0,23472.0,0.2648235462208887,0.8581018518518518,0.40473850857080473
